,global_sentiment_score,global_sentiment_category,market_relevance_score,Banks_sentiment_score,Banks_relevance_score,Oil & Gas_sentiment_score,Oil & Gas_relevance_score,Technology_sentiment_score,Technology_relevance_score,Healthcare_sentiment_score,Healthcare_relevance_score,Utilities_sentiment_score,Utilities_relevance_score,key_points,keywords
0,0.8,Positive,1.0,0.9,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,"The integrated reporting framework (IREF) will standardize statistical requirements for banks across the euro area. | IREF aims to reduce reporting burdens and enhance data quality for banks, particularly those operating in multiple countries. | The framework will help automate data processing and enable agile policymaking. | Strong support for IREF has been confirmed within the banking industry, with banks expecting reduced reporting costs. | Public consultation will be conducted before finalizing the IREF regulation.",IREF | European Central Bank | banks | statistical requirements | reporting framework
0,0.6,Positive,1.0,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Net position of the Eurosystem in foreign currency increased by EUR 0.8 billion. | Net balance of open market operations rose by EUR 67 billion. | Base money decreased by EUR 55.1 billion. | Public sector purchase programme saw a reduction of EUR 13.1 billion. | Pandemic emergency purchase programme increased by EUR 2.0 billion.,Eurosystem | foreign currency | open market operations | base money | monetary policy
0,0.8,Positive,1.0,0.7,1.0,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,The digital euro aims to provide a public digital payment option that complements cash. | It seeks to reduce Europe's dependence on non-European payment providers. | The project includes extensive stakeholder engagement to ensure the digital euro meets user needs. | A draft rulebook for the digital euro is being developed with input from various market participants. | The ECB is committed to ensuring the digital euro aligns with financial stability and monetary policy.,digital euro | central bank digital currency | payment services | financial stability | stakeholder engagement
0,0.6,Positive,1.0,0.7,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,"ECB invites experts to contribute to digital euro brand rules. | Workstream A3 focuses on developing brand rules for payment service providers. | Candidates must have experience in branding, communication, and digital payments. | The workstream will hold remote meetings over six weeks starting in early 2025. | Participation is voluntary and non-remunerated, with confidentiality assured.",digital euro | brand rules | payment service providers | ECB | workstream
0,0.6,Positive,1.0,0.7,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,"ECB invites experts in branding and communication for digital euro brand rules workstream. | Workstream aims to develop brand rules for payment service providers (PSPs) in the digital euro scheme. | Proposal will focus on implementation specifications and brand rules, excluding brand strategy and visual identity. | Candidates must have experience in multi-stakeholder groups and proficiency in English. | Participation is voluntary and non-remunerated, with all intellectual property rights residing with the ECB.",digital euro | brand rules | payment service providers | ECB | multi-stakeholder
0,0.6,Positive,1.0,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"M3 money supply increased by 2.9% in October 2024. | Deposits placed by households showed a growth rate of 2.3%. | Loans to non-financial corporations increased by 0.8%. | Overnight deposits decreased by 3.4% for households. | Overall, the monetary developments indicate a stable growth in the euro area.",M3 | money supply | deposits | loans | euro area
0,0.5,Neutral,1.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Net position of the Eurosystem in foreign currency assets increased by EUR 0.8 billion. | Net balance of open market operations decreased by EUR 18.2 billion. | Base money rose by EUR 19.3 billion. | Details of monetary policy securities portfolios provided. | Changes in securities held for monetary policy purposes noted.,Eurosystem | foreign currency assets | open market operations | base money | monetary policy
0,0.6,Positive,1.0,0.7,1.0,0.2,0.5,0.5,0.5,0.4,0.0,0.3,0.0,"Central banks need to be more agile in monetary policy. | Inflation risks have shifted from low to high, requiring a reassessment of strategies. | The natural rate of interest has become more uncertain post-pandemic. | Forward guidance may limit central banks' flexibility in volatile environments. | Asset purchases should be used cautiously to avoid long-term market distortions.",monetary policy | inflation | central banks | interest rates | financial markets
0,0.6,Positive,1.0,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Net position of the Eurosystem in foreign currency assets increased by EUR 0.3 billion. | Net balance of open market operations rose by EUR 11.7 billion. | Base money decreased by EUR 23.9 billion. | Public sector purchase programme saw a redemption of EUR 7.7 billion. | Pandemic emergency purchase programme had a weekly change of EUR 2.1 billion in purchases.,Eurosystem | foreign currency assets | open market operations | base money | monetary policy
0,0.6,Positive,1.0,0.5,1.0,0.2,0.5,0.7,0.5,0.4,0.0,0.5,0.5,"The Fit-for-55 package aims to reduce net greenhouse gas emissions by at least 55% by 2030. | The European financial sector's resilience to climate risks is being assessed through a climate scenario analysis. | The exercise includes banks, investment funds, pension funds, and insurers, covering thousands of EU financial institutions. | Investment of EUR 350 billion per year is needed to meet the EU's 2030 emission reduction target. | The analysis provides insights into the financial system's capacity to support the green transition under stress.",Fit-for-55 | climate risk | EU financial sector | sustainable finance | green transition
0,0.6,Positive,1.0,0.7,1.0,0.2,0.5,0.8,1.0,0.3,0.0,0.4,0.5,"Achieving carbon neutrality by 2050 requires a resilient financial sector. | Stress tests conducted on banks, investment funds, and insurers to assess resilience during the green transition. | Transition risks arise from rapid changes in regulations and consumer behavior. | Financial institutions need to manage climate-related risks effectively. | Coordinated policy approach is essential for financing the green transition.",climate neutrality | financial system | stress tests | green transition | investment funding
0,0.6,Positive,1.0,0.7,1.0,0.4,0.5,0.5,0.5,0.3,0.0,0.4,0.5,"Current account surplus increased in 2023, indicating a positive trade balance. | Capital account transactions show a stable inflow, supporting economic growth. | Primary income balance reflects a slight deficit, but secondary income remains stable. | Overall economic activity in Europe shows resilience despite global challenges. | Future quarters indicate potential for continued growth in current account balances.",current account | capital account | trade balance | economic growth | financial markets
0,0.6,Positive,1.0,0.7,1.0,0.2,0.5,0.5,0.5,0.4,0.0,0.3,0.0,"Central banks need to be more agile in monetary policy. | Inflation risks have shifted from low to high, requiring a reassessment of strategies. | The natural rate of interest has become more uncertain post-pandemic. | Forward guidance may limit central banks' flexibility in volatile environments. | Asset purchases should be used cautiously to avoid long-term market distortions.",monetary policy | inflation | central banks | interest rates | financial markets
0,0.6,Positive,1.0,0.5,1.0,0.2,0.5,0.7,1.0,0.4,0.5,0.3,0.5,Discussion on cyclical recovery in euro area productivity. | Focus on higher economic growth in Europe. | Insights shared at the Centre for European Reforms annual economics conference. | Piero Cipollone's contributions as a member of the ECB executive board. | Importance of productivity for economic stability.,cyclical recovery | euro area | productivity | economic growth | European Central Bank
0,0.6,Positive,1.0,0.7,1.0,0.2,0.5,0.5,0.5,0.4,0.0,0.3,0.0,"Shift from low-inflation environment to more frequent adverse supply-side shocks. | Monetary policy tools are being reassessed in light of current macroeconomic volatility. | Inflation-linked swap rates and professional forecasters' surveys indicate changing expectations. | Asset purchases can stabilize financial markets, but their impact is muted. | Forward guidance has slowed the reaction to rising inflation.",monetary policy | inflation | financial markets | asset purchases | economic volatility
0,0.6,Positive,1.0,0.7,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,"ECB lowered key interest rates by 25 basis points. | Disinflationary process is on track, but inflation remains high. | Wages are rising, contributing to domestic inflation. | The ECB is committed to returning inflation to the 2% target. | The governing council will assess economic data to guide future rate decisions.",ECB | interest rates | inflation | monetary policy | economic activity
0,0.5,Neutral,1.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Net position of the Eurosystem in foreign currency increased by EUR 1.2 billion. | Net balance of open market operations decreased by EUR 34.7 billion. | Base money rose by EUR 15.1 billion. | Detailed breakdown of securities held for monetary policy provided. | Changes in monetary policy securities portfolios reported.,Eurosystem | foreign currency | open market operations | base money | monetary policy
0,0.8,Positive,1.0,0.7,1.0,0.0,0.0,0.6,1.0,0.0,0.0,0.0,0.0,The 17th meeting focused on the development of the digital euro scheme rulebook. | Updates were provided on various workstreams including implementation specifications and risk management. | The importance of accessibility and user experience standards was emphasized. | Concerns regarding fraud risk and operational risks were discussed. | Next meeting scheduled for October 8 in Frankfurt.,digital euro | rulebook | implementation specifications | risk management | accessibility
0,0.8,Positive,1.0,0.7,1.0,0.0,0.0,0.6,1.0,0.0,0.0,0.0,0.0,"The 16th meeting of the Digital Euro Scheme Rulebook Development Group focused on updates from various workstreams. | Workstream A2 discussed minimum user experience standards for accessing the digital euro. | Workstream B1 emphasized the importance of confirming standards for the digital euro ecosystem. | Risk management updates highlighted the need for clarity on existing regulations in the context of the digital euro. | The next meeting is scheduled for September 10, 2024, to continue discussions on the digital euro.",Digital Euro | Rulebook Development | User Experience | Risk Management | Standards
0,0.6,Positive,1.0,0.7,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,"The 15th meeting of the Digital Euro Scheme Rulebook Development Group was held on June 11, 2024. | Participants included representatives from various sectors of the European retail payments market. | Feedback was provided on the review process and updates were made to the rulebook based on member comments. | Key topics discussed included user journeys, technical scheme requirements, and standards in the intermediary-desp domain. | Next meeting scheduled for July 9, 2024.",Digital Euro | Rulebook Development | Payments Market | User Journeys | Technical Requirements
0,0.6,Positive,1.0,0.7,1.0,0.2,0.0,0.5,0.5,0.4,0.5,0.3,0.0,"The survey aims to assess financing needs among European enterprises. | Responses will inform policy decisions by the European Commission and ECB. | Focus on small, medium-sized, and large non-financial enterprises. | Confidentiality of responses is assured for statistical purposes. | The survey is part of a broader initiative to improve access to finance.",financing needs | European Commission | European Central Bank | survey | policy decisions
0,0.4,Negative,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fewer euro area firms reported increases in interest rates on bank loans. | A net 2 of firms reported a decline in the need for bank loans. | Firms have become less optimistic about the availability of bank loans. | Cost pressures remain widespread across businesses of all sizes. | Firms expect selling prices to increase by 3% on average over the next 12 months.,bank loans | interest rates | economic outlook | cost pressures | inflation expectations
0,0.4,Negative,1.0,0.3,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,"Firms reported a continued increase in borrowing costs due to past monetary policy tightening. | A net 4% of firms reported an increase in bank interest rates, down from 31% in the previous quarter. | Expectations for bank loan availability have improved slightly, but remain low. | Firms are facing a deterioration in profits and increased costs for labor and materials. | Financial vulnerability among euro area enterprises has increased slightly.",borrowing costs | bank interest rates | financing gap | economic outlook | financial vulnerability
0,0.6,Positive,1.0,0.7,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,"Excess liquidity in the Eurosystem is projected to remain ample for some time. | The ECB's operational framework is demand-driven, providing reserves elastically. | Repo rates are normalizing as the Eurosystem's market footprint declines. | Banks are increasingly investing excess reserves in covered bonds. | Market funding remains attractive, with a decline in the share of reserves in high-quality liquid assets.",ECB | balance sheet reduction | excess liquidity | repo rates | covered bonds
0,0.5,Neutral,1.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Net position of the Eurosystem in foreign currency decreased by EUR 0.2 billion. | Net balance of open market operations increased by EUR 24.5 billion. | Base money decreased by EUR 16.9 billion. | Public sector purchase programme saw a redemption of EUR 5.7 billion. | Pandemic emergency purchase programme had a weekly change of EUR 2.3 billion in purchases.,Eurosystem | foreign currency | open market operations | base money | monetary policy
0,0.5,Neutral,1.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Net position of the Eurosystem in foreign currency increased by EUR 0.4 billion. | Net balance of open market operations decreased by EUR 9.3 billion. | Base money fell by EUR 7.1 billion. | Securities held for monetary policy purposes are accounted for at amortised cost. | Changes in various monetary policy securities portfolios were reported.,Eurosystem | foreign currency | open market operations | base money | monetary policy
0,0.6,Positive,1.0,0.5,1.0,0.3,0.5,0.7,0.5,0.4,0.5,0.4,0.5,"Net disposable income in the euro area has shown a steady increase. | Household consumption expenditure is also on the rise, indicating positive consumer sentiment. | Net saving for households has improved, reflecting better financial health. | Investment in gross fixed capital formation has seen fluctuations but remains significant. | General government net borrowing remains a concern, impacting overall fiscal health.",net disposable income | household consumption | net saving | investment | general government
0,0.6,Positive,1.0,0.5,1.0,0.0,0.0,0.4,0.5,0.0,0.0,0.0,0.0,"Growth of euro area net disposable income shows positive trends. | Households and non-financial corporations are key contributors to economic growth. | Gross fixed capital formation is increasing across sectors. | Net worth of households is on the rise, indicating financial stability. | Non-financial corporations are experiencing growth in net entrepreneurial income.",euro area | net disposable income | gross fixed capital formation | non-financial corporations | households
0,0.5,Neutral,1.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"M3 monetary aggregate shows a growth rate of 2.3% in September 2024. | Total deposits in the euro area increased to €14,099 billion. | Loans to households and non-financial corporations show varied growth rates. | Overnight deposits have seen a decline in growth rates. | Marketable instruments have shown a positive growth trend.",M3 | monetary developments | deposits | loans | euro area
0,0.5,Neutral,1.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Net position of the Eurosystem in foreign currency decreased by EUR 0.2 billion. | Net balance of open market operations increased by EUR 72.8 billion. | Base money liability fell by EUR 33.9 billion. | Details of monetary policy securities portfolios provided. | Discontinuation of reinvestments under the asset purchase programme noted.,Eurosystem | foreign currency | open market operations | base money | monetary policy
0,0.6,Positive,1.0,0.7,1.0,0.4,0.5,0.5,0.5,0.3,0.0,0.4,0.5,Current account surplus increased in 2023 compared to previous years. | Services and primary income showed positive growth. | Secondary income balance remains negative but is improving. | Capital account transactions indicate stable inflows. | Overall economic indicators suggest resilience in the European market.,current account | capital account | surplus | economic indicators | transactions
0,0.6,Positive,1.0,0.7,1.0,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,"Headline HICP inflation expectations for 2024 remain unchanged at 2.4. | Expectations for GDP growth show a slight increase from 0.7 in 2024 to 1.4 in 2026. | Unemployment rate expected to rise to 6.5 in 2024 and 2025, then slightly decline to 6.4 in 2026. | Long-term inflation expectations for 2029 remain stable at 2.0. | Expectations for the ECB's deposit facility rate to fall to 3.2 in Q4 2024.",HICP inflation | GDP growth | unemployment rate | ECB deposit facility rate | economic outlook
0,0.6,Positive,1.0,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Overall credit terms and conditions eased somewhat between June 2024 and August 2024. | Price terms eased slightly more for banks, dealers, insurance companies, and non-financial corporations. | Non-price terms remained unchanged for most counterparty types. | Improvement in general market liquidity attributed to easing of terms. | Increased demand for funding secured against corporate bonds and asset-backed securities.",credit terms | market liquidity | collateral | derivatives | funding
0,0.6,Positive,1.0,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Overall credit terms and conditions eased somewhat between June 2024 and August 2024. | Price terms eased slightly more for banks, dealers, insurance companies, and non-financial corporations. | Easing of terms attributed to improvement in general market liquidity. | Increased demand for funding for many collateral types, especially corporate bonds and asset-backed securities. | Initial margin requirements increased for all types of derivatives except total return swaps.",credit terms | euro-denominated | securities financing | OTC derivatives | market liquidity
0,0.6,Neutral,1.0,0.7,1.0,0.4,0.5,0.5,0.5,0.3,0.0,0.4,0.5,"ECB lowered key interest rates by 25 basis points. | Disinflationary process is on track, with inflation expected to rise before declining to target. | Economic activity has been weaker than expected, with manufacturing contracting. | Household consumption is recovering gradually despite high saving rates. | Geopolitical risks and trade tensions could impact economic growth.",interest rates | inflation | economic activity | disinflation | geopolitical risks
0,0.6,Positive,1.0,0.7,1.0,0.4,0.5,0.5,0.5,0.5,0.0,0.5,0.0,"ECB lowered key interest rates by 25 basis points. | Inflation is expected to rise in the coming months before declining to target. | Domestic inflation remains high due to rising wages. | The ECB is committed to ensuring inflation returns to the 2% target. | Economic activity has been weaker than expected, with a resilient labor market.",monetary policy | interest rates | inflation | economic activity | financial conditions
0,0.4,Negative,1.0,0.5,1.0,0.3,1.0,0.4,0.5,0.4,0.5,0.5,0.5,"Policy rate expectations have shifted due to incoming data. | Euro area economy shows sluggish growth compared to the US. | Inflation expectations are influenced by volatile energy prices. | Market participants expect front-loaded rate cuts. | Corporate bond spreads have declined, indicating investor confidence.",monetary policy | inflation | euro area | interest rates | economic growth
0,0.6,Positive,1.0,0.7,1.0,0.4,0.5,0.5,0.5,0.3,0.0,0.4,0.5,"ECB lowered key interest rates by 25 basis points. | Inflation is expected to rise in the coming months before declining to target. | Domestic inflation remains high due to rising wages. | The ECB is committed to ensuring inflation returns to the 2% target. | Economic activity has been weaker than expected, with a resilient labor market.",ECB | interest rates | inflation | economic activity | monetary policy
0,0.5,Neutral,1.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Net position of the Eurosystem in foreign currency increased by EUR 0.1 billion. | Net balance of open market operations decreased by EUR 15.5 billion. | Base money rose by EUR 12.8 billion. | Detailed breakdown of securities held for monetary policy provided. | Changes in various monetary policy securities portfolios reported.,Eurosystem | foreign currency | open market operations | base money | monetary policy
0,0.6,Positive,1.0,0.7,1.0,0.2,0.0,0.5,0.5,0.3,0.0,0.4,0.0,"Credit standards for loans to enterprises have remained largely unchanged. | There is a slight easing in credit standards for small and medium-sized enterprises. | Demand for loans has shown a positive trend, particularly for households. | Banks report stable liquidity positions and access to market financing. | Competition among banks remains a significant factor influencing credit conditions.",credit standards | loans | demand | liquidity | competition
0,0.6,Positive,1.0,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Euro area banks reported unchanged credit standards for loans to enterprises. | A net easing of credit standards for housing loans was observed. | Demand for housing loans rebounded strongly due to declining interest rates. | Banks expect a net tightening of credit standards for loans to firms and consumer credit in Q4 2024. | The ECB's monetary policy asset portfolio reduction has a contained effect on lending conditions.,bank lending survey | credit standards | housing loans | consumer credit | ECB monetary policy
0,0.6,Positive,1.0,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Credit standards for loans to enterprises remained unchanged in Q3 2024 after two years of tightening. | A small net easing of credit standards for housing loans was reported, particularly driven by banks in France. | Moderate increase in loan demand from firms for the first time since Q3 2022, primarily due to declining interest rates. | Banks expect a strong increase in housing loan demand in Q4 2024. | Consumer credit standards tightened moderately, driven by increased risk perceptions.",credit standards | loan demand | housing loans | consumer credit | European Central Bank
0,0.6,Positive,1.0,0.7,1.0,0.2,0.5,0.5,0.5,0.4,0.0,0.3,0.0,"The deposit facility rate has been lowered by 25 basis points. | Inflation is projected to average 2.5% in 2024, declining towards the target over the next few years. | Economic growth is projected at 0.8% in 2024, with a slight downward revision from previous projections. | The governing council is committed to ensuring inflation returns to its 2% medium-term target. | Changes to the operational framework for monetary policy will take effect from 18 September 2024.",deposit facility rate | inflation outlook | monetary policy | economic growth | ECB
0,0.4,Negative,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Increase of EUR 62.5 billion in gold and gold receivables due to quarterly revaluation adjustments. | Net position of the Eurosystem in foreign currency decreased by EUR 5.1 billion. | Net balance of open market operations fell by EUR 8.4 billion. | Base money increased by EUR 3.3 billion. | Quarter-end revaluation of assets and liabilities impacted the balance sheet significantly.,Eurosystem | gold | foreign currency | revaluation | monetary policy
0,0.6,Positive,1.0,0.7,1.0,0.4,0.5,0.5,0.5,0.3,0.0,0.4,0.5,"Household gross disposable income increased steadily from 2021 to 2024. | Consumption expenditure shows a positive growth trend. | Financial investment has seen fluctuations, particularly in currency and deposits. | Non-financial corporations are experiencing growth in gross value added. | General government financial assets are on the rise, indicating a stable economic environment.",gross disposable income | consumption expenditure | financial investment | non-financial corporations | government financial assets
0,0.6,Positive,1.0,0.7,1.0,0.2,0.0,0.5,0.5,0.3,0.0,0.4,0.0,"Households' gross disposable income shows positive growth trends. | Non-financial investment by households is increasing, indicating economic confidence. | Net worth of households is growing, reflecting improved financial health. | Non-financial corporations are experiencing fluctuations in net entrepreneurial income. | Investment trends in non-financial corporations suggest cautious optimism.",households | gross disposable income | non-financial investment | net worth | entrepreneurial income
0,0.4,Negative,1.0,0.5,1.0,0.2,0.5,0.6,1.0,0.3,0.5,0.4,0.5,"Euro area growth is uneven, driven by a few countries like Germany. | Higher interest rates have mixed effects on households across different countries. | Germany's export-led growth model faces structural challenges. | Energy prices and competition from China are impacting export growth. | Green innovation is seen as a potential growth engine for Europe.",euro area | interest rates | export growth | energy prices | green innovation
0,0.8,Positive,1.0,0.7,1.0,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,"Development of the digital euro schemes rulebook to ensure standardization. | Collaboration with a broad range of stakeholders including consumers, retailers, and payment service providers. | The rulebook aims to provide a single set of rules and standards for the digital euro. | Flexibility in the rulebook to accommodate future adjustments from the legislative process. | Regular updates and transparency in the rulebook development process.",digital euro | rulebook | standardization | stakeholders | payment services
0,0.8,Positive,1.0,0.7,1.0,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,The digital euro aims to enhance competitiveness of European payment service providers. | There is currently no pan-European digital payment scheme in the euro area. | Foreign digital payment initiatives are increasing their footprint in Europe. | The digital euro will support existing payment service providers and their business models. | Engagement with stakeholders is crucial for the successful implementation of the digital euro.,digital euro | payment service providers | European payments | competition | financial ecosystem
0,0.6,Positive,1.0,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Net position of the Eurosystem in foreign currency increased by EUR 0.8 billion. | Net balance of open market operations rose by EUR 5.3 billion. | Base money decreased by EUR 51.5 billion. | Securities held for monetary policy purposes are accounted for at amortised cost. | Pandemic emergency purchase programme saw a weekly change of EUR 1.9 billion in purchases.,Eurosystem | foreign currency | open market operations | base money | monetary policy
0,0.6,Positive,0.8,0.7,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,Fifth joint conference on expectations surveys organized by major central banks. | Focus on presenting current research involving expectations surveys. | High-profile participants from various institutions including ECB and Bank of Canada. | Keynote sessions led by prominent academics and central bank officials. | Networking opportunities during coffee breaks and lunch.,expectations surveys | central banks | research conference | European Central Bank | Bank of Canada
0,0.6,Positive,1.0,0.7,1.0,0.3,0.5,0.5,0.5,0.4,0.0,0.4,0.0,"Real GDP growth resumed in early 2024 after several quarters of stagnation. | GDP expanded by 0.2% in Q2 2024, following a 0.3% increase in Q1. | The services sector is performing well, while manufacturing and construction remain subdued. | Unemployment rate stable at 6.4%, lower than pre-pandemic levels. | Headline inflation decreased to 2.2% in August 2024, with projections for 2024 averaging 2.5%.",GDP growth | unemployment | inflation | monetary policy | capital markets union
0,0.6,Positive,1.0,0.5,1.0,0.2,0.0,0.7,1.0,0.4,0.5,0.3,0.0,The ECB is committed to maintaining a constructive dialogue with the European Parliament. | Inflation has significantly decreased from 10.6% in October 2022 to around 2.6% in June 2024. | The ECB's monetary policy stance is data-dependent and aims to ensure inflation returns to the 2% target. | The Capital Markets Union is essential for integrating fragmented markets and fostering economic resilience. | The ECB emphasizes the need for a unified regulatory framework to enhance market integration.,monetary policy | inflation | capital markets union | economic recovery | banking union
0,0.5,Neutral,1.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"M3 annual growth rate increased to 2.9% in August 2024. | Total deposits in the euro area reached €14,013 billion. | Loans to households showed a slight increase in August 2024. | Deposits placed by households increased, indicating consumer confidence. | Overall monetary developments reflect stable growth in the euro area.",M3 | deposits | loans | monetary policy | euro area
0,0.5,Neutral,1.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Net position of the Eurosystem in foreign currency increased by EUR 1.5 billion. | Net balance of open market operations decreased by EUR 15.3 billion. | Base money liability fell by EUR 23 billion. | Detailed breakdown of securities held for monetary policy purposes provided. | Changes in monetary policy securities portfolios reported.,Eurosystem | foreign currency | open market operations | base money | monetary policy
0,0.6,Positive,1.0,0.7,1.0,0.4,0.5,0.5,0.5,0.3,0.0,0.4,0.5,"Current account balance shows a positive trend over the years. | Increase in goods and services transactions indicates economic growth. | Primary income balance has fluctuated but remains significant. | Capital account transactions reflect ongoing investments. | Overall trade balance remains positive, supporting the Eurozone economy.",current account | capital account | economic growth | trade balance | Eurozone
